Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,169.68785095214844,170.8855799305739,168.6553346631324,170.47257341496748,121465900
2015-01-05,166.62335205078125,168.81228157325947,166.31773125812248,168.64708148544278,169632600
2015-01-06,165.0539093017578,167.44934175106874,164.2609313452381,166.92894957322903,209151400
2015-01-07,167.1106719970703,167.44934031956146,165.9294795701786,166.3755210016873,125346700
2015-01-08,170.0760498046875,170.29082122362388,168.49837475641723,168.5148859394458,147217800
2015-01-09,168.71316528320312,170.5056120873232,168.10191108942752,170.48908829723226,158567300
2015-01-12,167.39154052734375,169.0022760675028,166.78855452639888,168.84533157044453,144396100
2015-01-13,166.9207763671875,169.72921666658607,165.62392938041904,168.60583802603398,214553300
2015-01-14,165.91294860839844,166.1111962382504,164.02138464722543,164.91346747166824,192991100
2015-01-15,164.3931121826172,166.86288300701946,164.27747086579527,166.54900663505038,176613900
2015-01-16,166.54901123046875,166.70595572276284,164.0048895862307,164.18661346110187,211879600
2015-01-20,166.90420532226562,167.44937699436866,165.34304106412313,167.1850467519091,130991100
2015-01-21,167.7467041015625,168.2257931041972,165.9790369696136,166.441602184859,122942700
2015-01-22,170.24131774902344,170.3734702759483,167.12724459882256,168.49842947284804,174356000
2015-01-23,169.30789184570312,170.24129060330148,169.17572673589194,169.98521597655784,117516800
2015-01-26,169.70437622070312,169.79523815908667,168.3827629216211,169.09313463881273,92009700
2015-01-27,167.46588134765625,168.60577072506626,166.63986834178553,167.6558608098982,134044600
2015-01-28,165.31822204589844,168.74617055474414,165.12824260715124,168.64705303956416,168514300
2015-01-29,166.84637451171875,167.10243653138437,164.1122608271368,165.51649304484636,173585400
2015-01-30,164.748291015625,166.99504739330268,164.48397340858196,165.67343415017112,197729700
2015-02-02,166.78848266601562,166.87934456706182,163.43487312478038,165.243842952184,163107000
2015-02-03,169.2005157470703,169.20878394437813,167.3089513455954,167.68065470962785,124212900
2015-02-04,168.55621337890625,169.64655660572535,168.10190370106497,168.44057206127013,134306700
2015-02-05,170.25778198242188,170.40647086465165,169.14267208350574,169.21701022264207,97953200
2015-02-06,169.78697204589844,171.18293601095024,169.26657983067707,170.6212406255758,125672000
2015-02-09,169.0270233154297,169.86129180480972,168.6222724580705,169.1426646169671,87219000
2015-02-10,170.82777404785156,171.08383610249103,169.06836204099815,170.05958788393312,96164200
2015-02-11,170.92686462402344,171.3563949145991,170.01825788329432,170.6625470171787,91087800
2015-02-12,172.57061767578125,172.62844463006107,170.95989500311532,171.71982537678446,97545900
2015-02-13,173.28099060058594,173.3305493595107,172.43845388699384,172.69452848136683,93670400
2015-02-17,173.55360412597656,173.72707241390395,172.71933547479566,172.9671293090362,76968200
2015-02-18,173.57008361816406,173.64442174946387,172.91752641065045,173.18185657165742,80652900
2015-02-19,173.4461669921875,173.80961464663997,172.83492557693128,172.97534624270514,91462500
2015-02-20,174.48699951171875,174.56133766054108,172.4136987099765,173.03320849141335,140896400
2015-02-23,174.4622344970703,174.4622344970703,173.85923585195994,174.23920742827661,74411100
2015-02-24,174.9578399658203,175.1560876554852,174.0905236539817,174.38788888649893,72472300
2015-02-25,174.80914306640625,175.31301152317158,174.4704746962613,174.83392244920137,73061700
2015-02-26,174.60263061523438,174.87521641558922,173.99963205507456,174.7182719301766,72697900
2015-02-27,174.00790405273438,174.76783451094943,173.95834528867053,174.50350429733115,108076000
2015-03-02,175.1065216064453,175.1643359693863,174.0574814403365,174.10704020970294,87491400
2015-03-03,174.38783264160156,175.15603116282256,173.52878480470744,174.67694218695533,110325800
2015-03-04,173.65269470214844,173.86746613042823,172.6862610867606,173.7931153877391,114497200
2015-03-05,173.84274291992188,174.12358438184387,173.338874365786,173.9748954523809,76873000
2015-03-06,171.397705078125,173.41317890386983,171.06730490510006,172.98364859577046,188128000
2015-03-09,172.1080322265625,172.4632116903932,171.43896385686813,171.59590830979997,89818900
2015-03-10,169.31619262695312,170.82779838845576,169.274889443619,170.74520462574947,157121300
2015-03-11,168.91964721679688,169.74566016162228,168.83704088073142,169.57219189746775,110145700
2015-03-12,171.0673065185547,171.13337647061587,169.497874171987,169.5474329380123,93993500
2015-03-13,170.0182647705078,171.75288458432593,168.98574847515465,170.7947190412468,162410900
2015-03-16,172.28976440429688,172.38062632334677,170.04300840956867,170.74512438440473,136099200
2015-03-17,171.77767944335938,172.1576383881858,170.96817757941653,171.55465239072544,94510400
2015-03-18,173.84274291992188,174.51181159260238,170.67084266564368,171.30687635619972,228808500
2015-03-19,173.04969787597656,173.850931375652,172.66147081514595,173.42966934545456,117917300
2015-03-20,174.57723999023438,175.08335767044954,173.81391724732686,173.99645232282884,177715100
2015-03-23,174.237060546875,175.15802837331734,174.237060546875,174.58553314874214,71784500
2015-03-24,173.25799560546875,174.56891073329592,173.1916180726312,174.112585767895,77805300
2015-03-25,170.71910095214844,173.69773415857858,170.6776260721813,173.46541912579568,159521700
2015-03-26,170.3125457763672,171.22520830472868,169.35838305008411,170.05534076691788,153067200
2015-03-27,170.70249938964844,170.87672931710654,170.0055416991604,170.19638183333447,118939000
2015-03-30,172.78501892089844,173.08371141679822,171.7147115290507,171.73129641311075,96180400
2015-03-31,171.27503967285156,172.6606504185664,171.21696723081993,171.96369249262716,126768700
2015-04-01,170.66928100585938,171.2666659960578,169.68193601760873,171.2417760098176,137303600
2015-04-02,171.28330993652344,171.73134247042432,170.4204146457377,170.60294970108774,86900900
2015-04-06,172.4365692138672,172.95097921240085,170.26275905467685,170.3955014457633,114368200
2015-04-07,171.98023986816406,173.20819250095542,171.94705743385904,172.461467457011,81236300
2015-04-08,172.56101989746094,173.0007599290921,171.81429488606952,172.20425493830373,89351900
2015-04-09,173.32435607910156,173.5566711080269,171.90557591389464,172.3950959634002,85548900
2015-04-10,174.27020263671875,174.31169017357283,173.37413767380824,173.57325759435778,72722900
2015-04-13,173.48193359375,174.75967841561229,173.43215362982036,174.12909844526453,74436600
2015-04-14,173.81387329101562,173.99640832035578,172.66059069303114,173.28286574935842,75099900
2015-04-15,174.5937957763672,175.09991337221425,174.195543250851,174.27851832960081,99529300
2015-04-16,174.54396057128906,175.05007800701156,174.06273311927293,174.2618656491396,68934900
2015-04-17,172.5361328125,173.5981479249098,171.7562126949012,173.35754046703426,191113200
2015-04-20,174.11256408691406,174.44443904955597,173.37413153385023,173.45709394440155,92189500
2015-04-21,173.9051513671875,174.95056896762836,173.60645881560166,174.79292391814982,72559800
2015-04-22,174.75970458984375,174.94223959173425,173.3243145604123,174.24528201169025,78264600
2015-04-23,175.199462890625,175.84662790681259,174.24530025173053,174.36145775052785,102585900
2015-04-24,175.60604858398438,175.87155873444283,175.1580160303617,175.6143536888242,61327400
2015-04-27,174.87586975097656,176.2946496385879,174.68502963866905,176.17019970466308,79358100
2015-04-28,175.43179321289062,175.4815731938354,173.68112547509182,174.85100566816996,86863500
2015-04-29,174.70994567871094,175.30731806756097,173.9051356170558,174.54399554046685,125684900
2015-04-30,172.9593048095703,174.52743764078912,172.2623470377464,174.1374775440112,161304900
2015-05-01,174.8343963623047,174.87588389704135,173.63962625911066,173.7391862143041,103399700
2015-05-04,175.3321990966797,175.91298652826424,175.1496640952936,175.25751647959154,70927200
2015-05-05,173.32435607910156,175.44839909533542,173.183308572984,175.09162144791608,113326200
2015-05-06,172.6107940673828,174.1789266667018,171.54877900859634,173.8719416972736,135060200
2015-05-07,173.29949951171875,173.72265477190496,172.17941169055874,172.51128675011236,88244900
2015-05-08,175.5811309814453,175.78026356297747,174.884185936411,174.96716101043745,155877300
2015-05-11,174.74314880371094,175.80516398110535,174.66847882878935,175.53966651686653,75708100
2015-05-12,174.22044372558594,174.75975644947212,173.0920509518764,173.9134587041349,119727600
2015-05-13,174.253662109375,175.24929994623557,174.02134703611495,174.62702471566996,94667900
2015-05-14,176.07069396972656,176.1619615027784,174.9920811228103,175.26588372196588,95934000
2015-05-15,176.2615203857422,176.40256790681514,175.7802927290234,176.2615203857422,76510100
2015-05-18,176.80909729003906,177.05799719315343,176.02917716636372,176.09555469393385,74549700
2015-05-19,176.75100708007812,177.1990522131285,176.46891209125,176.92524966742405,72114600
2015-05-20,176.62657165527344,177.37329672479893,176.31128154758866,176.85058157999936,76857500
2015-05-21,177.14100646972656,177.34843153585038,176.31959865019664,176.48554883127272,64764600
2015-05-22,176.71780395507812,177.1741288176016,176.65142643720523,176.7592788260588,57433500
2015-05-26,174.8178253173828,176.65146828487644,174.40297522756453,176.22831309072097,124308600
2015-05-27,176.47726440429688,176.70957949275865,174.86764367693812,175.27420141185766,93214000
2015-05-28,176.27813720703125,176.38598964068927,175.58948441576126,176.1702721131509,74974600
2015-05-29,175.1829071044922,176.25321483710226,174.91740961261766,176.2117399535306,124919600
2015-06-01,175.53965759277344,176.17851755936138,174.75143236349666,175.84664258087983,93338800
2015-06-02,175.3654022216797,176.05405477905722,174.46103221002957,175.08330724450371,91531000
2015-06-03,175.83006286621094,176.45233800913786,175.34054279222792,175.89644040068288,87820900
2015-06-04,174.34487915039062,175.78025672160754,174.02958907362384,175.12479923909686,151882800
2015-06-05,174.0461883544922,174.7182433899041,173.3907182052303,174.1955282911533,121704700
2015-06-08,172.9758758544922,174.08768362665737,172.90120588284333,173.93833102314068,89063300
2015-06-09,172.95101928710938,173.49033206041878,172.32045163762882,172.95101928710938,105034700
2015-06-10,175.02520751953125,175.4068750792361,173.65620762232342,173.71428003736858,134551300
2015-06-11,175.58949279785156,175.9711478771171,175.23271505656643,175.4650301466123,73876400
2015-06-12,174.24534606933594,175.46500645752488,173.9715434658424,174.7680612814801,135382400
2015-06-15,173.49855041503906,173.7806453487977,172.40334044602406,173.1085904406367,124384200
2015-06-16,174.4444122314453,174.52738728945883,173.17497233718007,173.34920223470553,85308200
2015-06-17,174.7265625,175.33225276281615,173.70603479640596,174.7265625,126708600
2015-06-18,176.54359436035156,177.00822441202155,174.75974412764305,175.3239341446082,165867900
2015-06-19,175.75985717773438,176.37682630299184,175.38467857961558,176.30179312772805,130478700
2015-06-22,176.66029357910156,177.24390614570285,176.45185961090112,176.67697185866155,70696000
2015-06-23,176.78543090820312,177.11893304516468,176.3935865702076,176.86880962289496,68476800
2015-06-24,175.5013885498047,176.89372583021103,175.47637749317096,176.51854725890612,92307300
2015-06-25,174.96788024902344,176.126773063504,174.89284704391002,176.0017177216483,97107400
2015-06-26,174.93450927734375,175.56814411418458,174.38424041488037,175.32635352834328,104174800
2015-06-29,171.2660369873047,174.94281557284336,171.19100380518373,173.45876660249095,202621300
