Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,169.6878204345703,170.88554919758974,168.6553043312476,170.47254275626065,121465900
2015-01-05,166.623291015625,168.8122197362849,166.31767033491698,168.64701970898204,169632600
2015-01-06,165.0539093017578,167.44934175106874,164.2609313452381,166.92894957322903,209151400
2015-01-07,167.1106719970703,167.44934031956146,165.9294795701786,166.3755210016873,125346700
2015-01-08,170.07603454589844,170.2908059455661,168.49835963917315,168.51487082072038,147217800
2015-01-09,168.7131805419922,170.50562750822505,168.10192629293343,170.48910371663968,158567300
2015-01-12,167.39146423339844,169.00219903941428,166.78847850728337,168.84525461388836,144396100
2015-01-13,166.920654296875,169.72909254244186,165.62380825849968,168.6057147234243,214553300
2015-01-14,165.91294860839844,166.1111962382504,164.02138464722543,164.91346747166824,192991100
2015-01-15,164.39308166503906,166.86285203095846,164.27744036968454,166.5489757172567,176613900
2015-01-16,166.54896545410156,166.7059099032591,164.004844509121,164.18656833404498,211879600
2015-01-20,166.90419006347656,167.44936168573867,165.3430259480595,167.18503146744484,130991100
2015-01-21,167.74673461914062,168.22582370893434,165.97906716560615,166.44163246500446,122942700
2015-01-22,170.24130249023438,170.37345500531438,167.12722961914895,168.49841437027467,174356000
2015-01-23,169.30789184570312,170.24129060330148,169.17572673589194,169.98521597655784,117516800
2015-01-26,169.70436096191406,169.79522289212784,168.3827477816635,169.0931194349828,92009700
2015-01-27,167.46588134765625,168.60577072506626,166.63986834178553,167.6558608098982,134044600
2015-01-28,165.31822204589844,168.74617055474414,165.12824260715124,168.64705303956416,168514300
2015-01-29,166.8463592529297,167.1024212491774,164.11224581839372,165.51647790768044,173585400
2015-01-30,164.74827575683594,166.99503192642172,164.48395817427368,165.6734188056964,197729700
2015-02-02,166.78851318359375,166.8793751012651,163.43490302874275,165.24387318713673,163107000
2015-02-03,169.2004852294922,169.20875342530874,167.30892116918625,167.68062446617702,124212900
2015-02-04,168.5561981201172,169.64654124823144,168.10188848340294,168.44055681294967,134306700
2015-02-05,170.2577667236328,170.40645559253682,169.14265692465472,169.2169950571287,97953200
2015-02-06,169.78697204589844,171.18293601095024,169.26657983067707,170.6212406255758,125672000
2015-02-09,169.0270233154297,169.86129180480972,168.6222724580705,169.1426646169671,87219000
2015-02-10,170.82777404785156,171.08383610249103,169.06836204099815,170.05958788393312,96164200
2015-02-11,170.92686462402344,171.3563949145991,170.01825788329432,170.6625470171787,91087800
2015-02-12,172.57061767578125,172.62844463006107,170.95989500311532,171.71982537678446,97545900
2015-02-13,173.28094482421875,173.33050357005138,172.43840833320314,172.6944828599278,93670400
2015-02-17,173.5535888671875,173.72705713986363,172.7193202893553,172.9671141018099,76968200
2015-02-18,173.5701141357422,173.64445228011232,172.91755681349412,173.18188702097638,80652900
2015-02-19,173.4462432861328,173.8096911004554,172.8350016020092,172.97542232955007,91462500
2015-02-20,174.4870147705078,174.56135292583096,172.41371378745657,173.0332236230692,140896400
2015-02-23,174.462158203125,174.462158203125,173.8591598217115,174.2391312318631,74411100
2015-02-24,174.9578399658203,175.1560876554852,174.0905236539817,174.38788888649893,72472300
2015-02-25,174.80918884277344,175.3130574314842,174.47052038394315,174.8339682320574,73061700
2015-02-26,174.6026611328125,174.87524698081072,173.99966246725876,174.71830246796685,72697900
2015-02-27,174.0078887939453,174.7678191855219,173.9583300342273,174.5034889950828,108076000
2015-03-02,175.1064910888672,175.16430544173227,174.05745110558516,174.1070098663145,87491400
2015-03-03,174.38783264160156,175.15603116282256,173.52878480470744,174.67694218695533,110325800
2015-03-04,173.65274047851562,173.86751196341103,172.68630660836746,173.79316120112242,114497200
2015-03-05,173.8426971435547,174.12353853152536,173.33882872209776,173.97484964121526,76873000
2015-03-06,171.39772033691406,173.41319434208773,171.067320134475,172.98366399574914,188128000
2015-03-09,172.10806274414062,172.46324227095045,171.43899425580943,171.5959387365701,89818900
2015-03-10,169.3161163330078,170.8277214133803,169.27481316828494,170.74512768789077,157121300
2015-03-11,168.91964721679688,169.74566016162228,168.83704088073142,169.57219189746775,110145700
2015-03-12,171.06727600097656,171.13334594125118,169.497843934388,169.54740269157224,93993500
2015-03-13,170.0182342529297,171.75285375539067,168.98571814290895,170.79468838429833,162410900
2015-03-16,172.28981018066406,172.38067212385542,170.04305358898614,170.74516975037025,136099200
2015-03-17,171.7776641845703,172.15762309564545,170.96816239253445,171.55463715174756,94510400
2015-03-18,173.8426971435547,174.51176564005567,170.67079772450302,171.30683124757832,228808500
2015-03-19,173.0497283935547,173.85096203452886,172.6615012642596,173.4296999300412,117917300
2015-03-20,174.57717895507812,175.083296458346,173.81385647904116,173.99639149072578,177715100
2015-03-23,174.237060546875,175.15802837331734,174.237060546875,174.58553314874214,71784500
2015-03-24,173.25796508789062,174.56887998481383,173.19158756674477,174.1125550997898,77805300
2015-03-25,170.71905517578125,173.69768758352507,170.67758030693514,173.46537261303482,159521700
2015-03-26,170.31253051757812,171.22519296417158,169.35836787678124,170.05532553117254,153067200
2015-03-27,170.70248413085938,170.87671404274337,170.00552650267113,170.19636661978635,118939000
2015-03-30,172.7850341796875,173.08372670196508,171.71472669332005,171.73131157884472,96180400
2015-03-31,171.2750244140625,172.66063503633413,171.2169519772045,171.96367717248643,126768700
2015-04-01,170.66928100585938,171.2666659960578,169.68193601760873,171.2417760098176,137303600
2015-04-02,171.28330993652344,171.73134247042432,170.4204146457377,170.60294970108774,86900900
2015-04-06,172.4365997314453,172.95100982101852,170.26278918753715,170.39553160211617,114368200
2015-04-07,171.98028564453125,173.2082386041695,171.947103201394,172.46151336146764,81236300
2015-04-08,172.56101989746094,173.0007599290921,171.81429488606952,172.20425493830373,89351900
2015-04-09,173.32435607910156,173.5566711080269,171.90557591389464,172.3950959634002,85548900
2015-04-10,174.2702178955078,174.31170543599447,173.37415285413942,173.57327279212356,72722900
2015-04-13,173.48199462890625,174.7597399003102,173.4322146474628,174.12915970810909,74436600
2015-04-14,173.8138885498047,173.99642359516923,172.6606058505757,173.28288096153133,75099900
2015-04-15,174.59378051757812,175.09989806919253,174.19552802686758,174.27850309836572,99529300
2015-04-16,174.54396057128906,175.05007800701156,174.06273311927293,174.2618656491396,68934900
2015-04-17,172.53610229492188,173.5981172194862,171.75618231527255,173.35750980416844,191113200
2015-04-20,174.1125946044922,174.4444696253035,173.37416192199962,173.4571243470922,92189500
2015-04-21,173.90516662597656,174.95058431814448,173.60647404818283,174.79293925483387,72559800
2015-04-22,174.759765625,174.94230069064122,173.32437509425588,174.24534286718344,78264600
2015-04-23,175.19949340820312,175.84665853711883,174.24533060310532,174.36148812213582,102585900
2015-04-24,175.60606384277344,175.87157401630265,175.15803125022026,175.6143689483349,61327400
2015-04-27,174.87594604492188,176.29472655151122,174.68510584935564,176.17027656329202,79358100
2015-04-28,175.43179321289062,175.4815731938354,173.68112547509182,174.85100566816996,86863500
2015-04-29,174.7099609375,175.30733337852325,173.90515080555448,174.5440107847622,125684900
2015-04-30,172.95924377441406,174.52737605225857,172.26228624853775,174.13741609309267,161304900
2015-05-01,174.8343963623047,174.87588389704135,173.63962625911066,173.7391862143041,103399700
2015-05-04,175.33221435546875,175.91300183759805,175.14967933819705,175.25753173188116,70927200
2015-05-05,173.32435607910156,175.44839909533542,173.183308572984,175.09162144791608,113326200
2015-05-06,172.6107940673828,174.1789266667018,171.54877900859634,173.8719416972736,135060200
2015-05-07,173.2994384765625,173.7225935877157,172.1793510498914,172.51122599256044,88244900
2015-05-08,175.58116149902344,175.7802941151666,174.8842163328538,174.96719142130206,155877300
2015-05-11,174.7431182861328,175.80513327805429,174.66844832425178,175.53963586018259,75708100
2015-05-12,174.220458984375,174.75977175549593,173.09206611183717,173.91347393603724,119727600
2015-05-13,174.2536163330078,175.2492539083147,174.02130132077684,174.62697884122056,94667900
2015-05-14,176.07064819335938,176.1619157026827,174.99203562687012,175.26583815484017,95934000
2015-05-15,176.261474609375,176.4025220938169,175.78024707763444,176.261474609375,76510100
2015-05-18,176.80905151367188,177.05795135234536,176.02913159192002,176.09550910230482,74549700
2015-05-19,176.75100708007812,177.1990522131285,176.46891209125,176.92524966742405,72114600
2015-05-20,176.6265411376953,177.3732660782015,176.31125108448646,176.85055102371675,76857500
2015-05-21,177.14102172851562,177.34844681250686,176.31961383823028,176.48556403360118,64764600
2015-05-22,176.7178192138672,177.17414411579225,176.6514416902629,176.75929408842902,57433500
2015-05-26,174.8178253173828,176.65146828487644,174.40297522756453,176.22831309072097,124308600
2015-05-27,176.4772186279297,176.70953365613138,174.86759831808982,175.27415594755252,93214000
2015-05-28,176.2781219482422,176.38597437256442,175.5894692165826,176.17025686369877,74974600
2015-05-29,175.1829071044922,176.25321483710226,174.91740961261766,176.2117399535306,124919600
2015-06-01,175.53964233398438,176.17850224503937,174.7514171732241,175.84662729540608,93338800
2015-06-02,175.36544799804688,176.05410073518627,174.46107775032527,175.0833529472345,91531000
2015-06-03,175.83004760742188,176.45232269634687,175.34052757592013,175.8964251361335,87820900
2015-06-04,174.34490966796875,175.78028749043622,174.02961953601317,175.12482989319332,151882800
2015-06-05,174.0461883544922,174.7182433899041,173.3907182052303,174.1955282911533,121704700
2015-06-08,172.97589111328125,174.08769898352278,172.90122113504552,173.93834636683118,89063300
2015-06-09,172.950927734375,173.49024022219572,172.3203604186895,172.950927734375,105034700
2015-06-10,175.0252227783203,175.40689037129914,173.65622276176234,173.71429518187028,134551300
2015-06-11,175.58949279785156,175.9711478771171,175.23271505656643,175.4650301466123,73876400
2015-06-12,174.2453155517578,175.46497572633368,173.97151299621842,174.7680306723529,135382400
2015-06-15,173.49862670898438,173.78072176679095,172.4034162583637,173.1086665631017,124384200
2015-06-16,174.4444580078125,174.5274330875997,173.17501778043052,173.3492477236761,85308200
2015-06-17,174.72653198242188,175.33222213944873,173.70600445707223,174.72653198242188,126708600
2015-06-18,176.54360961914062,177.00823971096892,174.75975923225266,175.32394929798113,165867900
2015-06-19,175.75985717773438,176.37682630299184,175.38467857961558,176.30179312772805,130478700
2015-06-22,176.66038513183594,177.2439980008896,176.45195105561632,176.6770634200393,70696000
2015-06-23,176.7853546142578,177.1188566072924,176.39351044536755,176.8687332929665,68476800
2015-06-24,175.50143432617188,176.89377196974425,175.47642326301445,176.51859330058082,92307300
2015-06-25,174.9678192138672,176.1267116240838,174.8927860349281,176.00165632585197,97107400
2015-06-26,174.93446350097656,175.56809817200963,174.384194782506,175.3263076494394,104174800
2015-06-29,171.26605224609375,174.9428311592116,171.19101905728778,173.45878205663925,202621300
