Train Start,Train End,Test Start,Test End,Short MA,Long MA,Return,Sharpe Ratio,Maximum Drawdown
2015-01-02,2018-01-02,2018-01-03,2019-01-03,20,300,0.0,0.0,0.0
2016-01-04,2019-01-03,2019-01-04,2020-01-03,20,100,-0.0020101078605652134,-0.18580141371922582,-0.013315014046188772
2017-01-03,2020-01-03,2020-01-06,2021-01-04,20,100,0.0350603306922912,0.8892683497636548,-0.02728672911641735
2018-01-03,2021-01-04,2021-01-05,2022-01-03,30,300,0.0,0.0,0.0
2019-01-04,2022-01-03,2022-01-04,2023-01-04,20,300,0.0,0.0,0.0
2020-01-06,2023-01-04,2023-01-05,2024-01-05,20,300,0.0,0.0,0.0
