Train Start,Train End,Test Start,Test End,Short MA,Long MA,Return,Sharpe Ratio,Maximum Drawdown
2015-01-02,2018-01-02,2018-01-03,2019-01-03,30,150,-0.001356773323536009,-0.9651315861602661,-0.002564189377296002
2016-01-04,2019-01-03,2019-01-04,2020-01-03,20,100,0.0008231040787696209,0.9027889710174997,-0.0008178774453860059
2017-01-03,2020-01-03,2020-01-06,2021-01-04,50,100,0.004602561135292005,1.1595407423398731,-0.002408970469097141
2018-01-03,2021-01-04,2021-01-05,2022-01-03,50,250,0.0005085597047806978,0.6979897771298267,-0.00019920205974573036
2019-01-04,2022-01-03,2022-01-04,2023-01-04,75,100,0.0,0.0,0.0
2020-01-06,2023-01-04,2023-01-05,2024-01-05,75,100,0.007130484378814694,0.5705369156228871,-0.008926004764210071
