Train Start,Train End,Test Start,Test End,Short MA,Long MA,Return,Sharpe Ratio,Maximum Drawdown
2015-01-02,2018-01-02,2018-01-03,2019-01-03,20,300,0.0,0.0,0.0
2016-01-04,2019-01-03,2019-01-04,2020-01-03,30,100,0.03255922072219852,1.7310437518040733,-0.008443070736696269
2017-01-03,2020-01-03,2020-01-06,2021-01-04,30,100,0.03544044186401374,0.7840936296269375,-0.028414697979594197
2018-01-03,2021-01-04,2021-01-05,2022-01-03,20,250,-0.0045756844940184616,-1.40684249513327,-0.004575684494018496
2019-01-04,2022-01-03,2022-01-04,2023-01-04,50,100,-0.03634495618438727,-1.3470512072381693,-0.03984902762211526
2020-01-06,2023-01-04,2023-01-05,2024-01-05,20,200,0.040776208526611235,1.3197961458714262,-0.015586284903884834
