Train Start,Train End,Test Start,Test End,Short MA,Long MA,Return,Sharpe Ratio,Maximum Drawdown
2015-01-02,2018-01-02,2018-01-03,2019-01-03,20,300,0.0,0.0,0.0
2016-01-04,2019-01-03,2019-01-04,2020-01-03,30,100,0.01386367191314708,0.46519772414944227,-0.0262953329148247
2017-01-03,2020-01-03,2020-01-06,2021-01-04,30,100,0.04297975279235833,0.5939367643703968,-0.05129198457409122
2018-01-03,2021-01-04,2021-01-05,2022-01-03,100,250,-0.005949998779296917,-0.7208660616077102,-0.008120927734375
2019-01-04,2022-01-03,2022-01-04,2023-01-04,100,300,0.0,0.0,0.0
2020-01-06,2023-01-04,2023-01-05,2024-01-05,20,100,0.08851143295288089,1.362120454032693,-0.039408278684382646
