Ticker,Strategy Return,Strategy Sharpe,Maximum Drawdown,Buy Hold Return,Buy Hold Sharpe,VaR,CVaR,Best Short MA,Best Long MA
AAPL,0.21386866456508646,0.7991129424572352,-0.044128875635692996,9.285384508586521,0.9631867115870579,-0.002522238673718723,-0.004018461474162248,100.0,300.0
MSFT,0.32879631957626354,0.7292259493171527,-0.06710506625419492,9.497482535404805,1.0040416358205335,-0.004010809542326554,-0.006659782731889814,50.0,150.0
NVDA,0.12045057356265176,0.6657943389765965,-0.03263715171176942,276.95059461889775,1.4016601587508875,-0.0010942311879499557,-0.002518548830968478,50.0,150.0
AMZN,0.19293092477035545,0.6409451561098877,-0.04511478138280898,13.222092862014032,0.9749253803427314,-0.002761125481996117,-0.0043474982335227775,20.0,300.0
GOOGL,0.12494061431694026,0.5436225529151105,-0.04591922026245329,6.175383638627936,0.8357864160424392,-0.002292545233560582,-0.0035653781687651413,75.0,200.0
TSLA,0.2992960106401443,0.4106550747656664,-0.1965552767109589,26.6211737603338,0.8666054753565007,-0.005676965979730396,-0.01137514853217438,75.0,150.0
META,0.3985151539230347,0.5194916239088402,-0.15353447152777605,6.491991336088011,0.7279895828860781,-0.00603626908045235,-0.01037791522956367,20.0,100.0
SPY,0.36056504101562514,0.7698384634605764,-0.0933249030233738,2.3957373576984318,0.7838644024230639,-0.004110636726744677,-0.006833389711621905,100.0,300.0
